Age,Gender,Married,Tenure,Pay Rate,Pay Grade,Bonus,Compa-Ratio,Degree Level,Performance Level,Mentor,Mentee,Engagement Score,Communication-Before,Communication-After,Communication Training,Leadership-Before,Leadership-After,Leadership Development,Employee Referral,Headhunter,Job Fair,Social Media,Website,Interview Score,IQ,Management,HP,Target,Department_Executive Office,Department_IT/IS,Department_Production,Department_Sales,Mentoring Role_Mentee,Mentoring Role_Neither Mentor nor Mentee,Employee Source_Headhunter,Employee Source_Job Fair,Employee Source_Social Media,Employee Source_Website,Interviewer_Elisa Bramante,Interviewer_Janet King,Interviewer_Jennifer Zamora
38.8,1,2,15.9,28.5,2,4.275,1.1529126213592231,3,2,1,2,3.188584474885845,1.9331153846153848,1.913784230769231,1,,,,1,1,1,2,1,2.5,110,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
40.4,2,1,10.7,23,2,4.6000000000000005,0.930420712,3,3,1,2,3.451141552511415,2.3611153846153847,2.479171153846154,1,,,,1,1,1,1,2,2.5,134,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
38.1,2,1,10,29,2,5.800000000000001,1.1731391585760518,4,3,1,2,3.419178082191781,2.3383461538461536,2.4552634615384608,1,,,,1,1,1,2,1,2.5,138,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
39,1,2,9.6,21,1,,1.0920436817472698,3,0,1,2,3.4374429223744287,,,,,,,1,1,2,1,1,2,94,1,,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
36.3,1,1,9.4,9,1,,0.4680187207488299,2,0,1,2,3.4374429223744287,,,,,,,1,1,1,1,2,1.5,107,1,,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
37.3,1,1,13,13,1,2.6,0.6760270410816432,3,3,1,1,2.756164383561644,2.0805,2.1845250000000003,1,,,,1,1,1,1,2,3.5,99,1,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
40.3,2,2,8.7,45,4,9,0.9949148795047535,4,3,2,2,3.3598173515981733,2.9308846153846155,4.396326923076924,2,3,3,1,1,1,1,2,1,4.6,104,2,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
39.9,2,1,13.6,45,4,9,0.9949148795047535,4,3,1,1,2.783561643835617,3.002730769230769,3.152867307692308,1,,,,1,1,1,2,1,4.6,154,2,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
37.5,1,2,9.6,29,3,,0.7835720075655229,3,0,1,2,3.4374429223744287,,,,,,,1,1,2,1,1,3,90,1,,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
45.4,1,2,15.7,31,3,6.2,0.837611456,3,3,1,2,3.684018264840183,2.764576923076923,2.9028057692307687,1,,,,1,1,1,2,1,4.5,89,1,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
